2018-10-01T06:01:52.397Z - info: Website generation started at 14:01:34
2018-10-01T06:02:52.729Z - info: Building assets...
2018-10-01T06:03:17.964Z - info: Assets built
2018-10-01T06:03:17.965Z - info: Generating pages...
2018-10-01T06:04:46.585Z - info: Pages built
2018-10-01T06:04:47.443Z - info: Site data built
2018-10-01T06:04:47.444Z - info: Website generation complete! Total build time: 192.934s
2018-10-01T06:04:47.483Z - info: Generate Site durationMs=192973
2018-10-01T06:04:47.892Z - info: Serving "C:\repos\nus-cs2103-AY1819S1\cs2103-website\_site" at http://127.0.0.1:8080
2018-10-01T06:04:47.892Z - info: Press CTRL+C to stop ...
2018-10-01T06:05:56.624Z - info: Website generation started at 14:05:54
2018-10-01T06:05:59.170Z - info: Building assets...
2018-10-01T06:06:02.481Z - info: Assets built
2018-10-01T06:06:02.481Z - info: Generating pages...
2018-10-01T06:07:21.752Z - info: Pages built
2018-10-01T06:07:21.930Z - info: Site data built
2018-10-01T06:07:21.930Z - info: Website generation complete! Total build time: 87.534s
2018-10-01T06:07:21.930Z - info: Build success!
2018-10-01T06:07:21.931Z - info: Generate Site durationMs=87535
2018-10-01T06:09:00.103Z - info: Deployed!
2018-10-01T06:28:34.215Z - info: Website generation started at 14:28:31
2018-10-01T06:28:36.623Z - info: Building assets...
2018-10-01T06:28:40.285Z - info: Assets built
2018-10-01T06:28:40.286Z - info: Generating pages...
2018-10-01T06:29:58.179Z - info: Pages built
2018-10-01T06:29:58.413Z - info: Site data built
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\clientServer\path.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\eventDriven\what\text.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\eventDriven\path.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\schedule\evidence\architecture.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\transactionProcessing\what\text.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\transactionProcessing\path.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\serviceOriented\what\text.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\serviceOriented\path.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\more\moreStyles\text.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\more\path.md
2018-10-01T07:13:08.029Z - info: [15:13:08] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\more\usingStyles\text.md
