2018-12-15T05:06:06.173Z - info: Website generation started at 13:05:51
2018-12-15T05:07:19.204Z - info: Building assets...
2018-12-15T05:07:35.061Z - info: Assets built
2018-12-15T05:07:35.062Z - info: Generating pages...
2018-12-15T05:08:52.138Z - info: Pages built
2018-12-15T05:08:52.824Z - info: Site data built
2018-12-15T05:08:52.824Z - info: Website generation complete! Total build time: 181.037s
2018-12-15T05:08:52.833Z - info: Generate Site durationMs=181046
2018-12-15T05:08:53.386Z - info: Serving "C:\repos\nus-cs2103-AY1819S1\cs2103-website\_site" at http://127.0.0.1:8080
2018-12-15T05:08:53.386Z - info: Press CTRL+C to stop ...
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\testing\testAutomation\what\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\testing\testAutomation\testingTextUis\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\revisionControl\path.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\revisionControl\what\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\revisionControl\repositories\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\gitAndGithub\path.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\gitAndGithub\init\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\revisionControl\savingHistory\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\gitAndGithub\commit\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\gitAndGithub\ignore\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\admin\appendixB-policies.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\schedule\week6\outcomes.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\design\introduction\path.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\design\introduction\what\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architectureDiagrams\path.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architectureDiagrams\reading\text.md
2018-12-15T06:09:30.782Z - info: [14:09:30] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\designApproaches\multilevelDesign\path.md
